symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
HDFC,INE001A01036,2020-12-02,NSE,EQ,EQ,buy,false,3.000000,2270.000000,27961332,1100000007321983,2020-12-02T12:57:09
HDFC,INE001A01036,2020-12-02,NSE,EQ,EQ,sell,false,3.000000,2275.850098,29872281,1100000015294417,2020-12-02T15:21:54
DABUR,INE016A01026,2020-12-04,BSE,EQ,A,sell,false,14.000000,504.600006,1862800,1607052600009338278,2020-12-04T09:40:21
CGPOWER,INE067A01029,2020-12-04,NSE,EQ,EQ,buy,false,124.000000,47.500000,2218433,1000000008004002,2020-12-04T11:24:05
CGPOWER,INE067A01029,2020-12-04,NSE,EQ,EQ,buy,false,76.000000,47.450001,2218432,1000000008004002,2020-12-04T11:24:05
HDFC,INE001A01036,2020-12-07,NSE,EQ,EQ,buy,false,1.000000,2240.000000,25002062,1100000000047783,2020-12-07T09:07:21
CENTURYTEX,INE055A01016,2020-12-08,NSE,EQ,EQ,buy,false,5.000000,393.000000,3922619,1000000015672105,2020-12-08T14:10:17
ITC,INE154A01025,2020-12-08,NSE,EQ,EQ,sell,false,4.000000,202.300003,29227240,1100000014008926,2020-12-08T14:11:04
HDFC,INE001A01036,2020-12-09,NSE,EQ,EQ,buy,false,3.000000,2292.399902,28103388,1100000009997391,2020-12-09T13:22:34
BHARTIARTL,INE397D01024,2020-12-10,NSE,EQ,EQ,buy,false,3.000000,496.200012,1249936,1000000004852243,2020-12-10T10:13:20
CENTURYTEX,INE055A01016,2020-12-10,NSE,EQ,EQ,buy,false,2.000000,379.500000,1252012,1000000004859904,2020-12-10T10:13:31
N100,INF247L01031,2020-12-10,NSE,EQ,EQ,buy,false,1.000000,897.890015,50969627,1200000003708272,2020-12-10T10:13:57
PURVA,INE323I01011,2020-12-10,NSE,EQ,EQ,buy,false,11.000000,68.800003,51883194,1200000007923845,2020-12-10T12:22:53
PURVA,INE323I01011,2020-12-10,NSE,EQ,EQ,buy,false,29.000000,68.800003,51883193,1200000007923845,2020-12-10T12:22:53
VSTIND,INE710A01016,2020-12-14,NSE,EQ,EQ,buy,false,1.000000,3942.100098,77232160,1300000007796538,2020-12-14T11:57:52
N100,INF247L01031,2020-12-15,NSE,EQ,EQ,buy,false,1.000000,904.789978,51534869,1200000005646005,2020-12-15T11:09:59
VEDL,INE205A01025,2020-12-16,NSE,EQ,EQ,buy,false,30.000000,149.300003,77611027,1300000008772720,2020-12-16T12:43:32
HDFC,INE001A01036,2020-12-16,NSE,EQ,EQ,sell,false,1.000000,2416.199951,29816334,1100000013847683,2020-12-16T15:27:09
BHARTIARTL,INE397D01024,2020-12-17,NSE,EQ,EQ,buy,false,2.000000,513.450012,2588313,1000000009722887,2020-12-17T12:55:38
VEDL,INE205A01025,2020-12-21,NSE,EQ,EQ,buy,false,14.000000,136.000000,80564237,1300000019133670,2020-12-21T15:09:24
N100,INF247L01031,2020-12-23,BSE,EQ,E,buy,false,1.000000,921.989990,1800,1608695100112000272,2020-12-23T09:17:34
BHARTIARTL,INE397D01024,2020-12-29,NSE,EQ,EQ,buy,false,3.000000,521.299988,3247715,1000000012873582,2020-12-29T13:58:24
ITC,INE154A01025,2021-01-06,BSE,EQ,A,buy,false,10.000000,210.949997,272300,1609903800027037986,2021-01-06T09:18:22
CENTURYTEX,INE055A01016,2021-01-06,NSE,EQ,EQ,buy,false,4.000000,415.000000,5011850,1000000015695272,2021-01-06T15:21:27
HDFC,INE001A01036,2021-01-08,BSE,EQ,A,buy,false,2.000000,2637.899902,3413900,1610076600007612397,2021-01-08T11:00:48
GSFC,INE026A01025,2021-01-08,NSE,EQ,EQ,buy,false,50.000000,84.599998,30532695,1100000015417629,2021-01-08T15:21:36
HINDUNILVR,INE030A01027,2021-01-12,NSE,EQ,EQ,buy,false,1.000000,2393.949951,26867969,1100000006095378,2021-01-12T10:52:01
N100,INF247L01031,2021-01-12,NSE,EQ,EQ,buy,false,2.000000,935.979980,52358886,1200000009459327,2021-01-12T12:47:49
ITC,INE154A01025,2021-01-12,NSE,EQ,EQ,buy,false,8.000000,202.899994,28562838,1100000011350850,2021-01-12T13:10:47
PURVA,INE323I01011,2021-01-13,BSE,EQ,B,buy,false,4.000000,87.400002,1100700,1610508600000045786,2021-01-13T13:53:34
RELIANCEPP,IN9002A01024,2021-01-20,BSE,EQ,A,sell,false,3.000000,1140.599976,2995900,1611113400010267091,2021-01-20T10:53:53
RELIANCEPP,IN9002A01024,2021-01-20,BSE,EQ,A,sell,false,6.000000,1140.400024,2996300,1611113400010267091,2021-01-20T10:53:53
RELIANCEPP,IN9002A01024,2021-01-20,BSE,EQ,A,sell,false,1.000000,1140.500000,2996100,1611113400010267091,2021-01-20T10:53:53
N100,INF247L01031,2021-01-20,NSE,EQ,EQ,buy,false,6.000000,940.969971,51474893,1200000005998206,2021-01-20T11:15:51
BHARTIARTL,INE397D01024,2021-01-21,BSE,EQ,A,buy,false,5.000000,584.250000,7681400,1611218917395333958,2021-01-21T15:26:41
HDFC,INE001A01036,2021-01-22,NSE,EQ,EQ,buy,false,2.000000,2587.550049,30038154,1100000017932783,2021-01-22T15:19:30
HDFC,INE001A01036,2021-01-27,NSE,EQ,EQ,buy,false,2.000000,2509.100098,26991502,1100000007099819,2021-01-27T10:57:11
HINDUNILVR,INE030A01027,2021-01-27,BSE,EQ,A,buy,false,1.000000,2349.550049,2019000,1611718200013344510,2021-01-27T10:57:47
N100,INF247L01031,2021-01-29,NSE,EQ,EQ,buy,false,1.000000,937.950012,51957021,1200000008634175,2021-01-29T11:51:49
PURVA,INE323I01011,2021-02-03,BSE,EQ,B,sell,false,44.000000,81.599998,992200,1612323000000043619,2021-02-03T12:24:42
ASIANPAINT,INE021A01026,2021-02-04,NSE,EQ,EQ,buy,false,2.000000,2423.649902,3233364,1000000011791380,2021-02-04T11:26:28
ITC,INE154A01025,2021-02-04,NSE,EQ,EQ,sell,false,39.000000,225.949997,29128822,1100000014260792,2021-02-04T13:10:32
ITC,INE154A01025,2021-02-04,NSE,EQ,EQ,buy,false,39.000000,231.149994,30150676,1100000014260790,2021-02-04T14:30:57
BHARTIARTL,INE397D01024,2021-02-04,NSE,EQ,EQ,buy,false,5.000000,599.549988,5725149,1000000021197925,2021-02-04T14:32:00
BHARTIARTL,INE397D01024,2021-02-04,NSE,EQ,EQ,sell,false,5.000000,598.400024,6735253,1000000023994610,2021-02-04T15:22:42
BHARTIARTL,INE397D01024,2021-02-05,NSE,EQ,EQ,buy,false,5.000000,587.799988,3352243,1000000014406680,2021-02-05T12:00:47
ASIANPAINT,INE021A01026,2021-02-08,BSE,EQ,A,buy,false,1.000000,2391.050049,3510600,1612755000066477387,2021-02-08T10:54:33
HINDUNILVR,INE030A01027,2021-02-08,NSE,EQ,EQ,buy,false,1.000000,2239.149902,30425770,1100000016844944,2021-02-08T15:03:45
CENTURYTEX,INE055A01016,2021-02-09,NSE,EQ,EQ,buy,false,2.000000,466.950012,3619926,1000000013885360,2021-02-09T12:52:05
BHARTIARTL,INE397D01024,2021-02-10,NSE,EQ,EQ,buy,false,2.000000,592.500000,1369431,1000000006063695,2021-02-10T10:08:27
ITC,INE154A01025,2021-02-10,NSE,EQ,EQ,buy,false,2.000000,227.449997,27175222,1100000007917228,2021-02-10T11:07:39
HDFC,INE001A01036,2021-02-12,NSE,EQ,EQ,sell,false,20.000000,2779.350098,29027793,1100000012224322,2021-02-12T14:00:50
ASIANPAINT,INE021A01026,2021-02-16,NSE,EQ,EQ,buy,false,3.000000,2444.100098,1873471,1000000007167513,2021-02-16T10:38:20
HDFC,INE001A01036,2021-02-17,NSE,EQ,EQ,buy,false,5.000000,2809.000000,26262648,1100000003386541,2021-02-17T10:05:39
HDFC,INE001A01036,2021-02-18,NSE,EQ,EQ,buy,false,10.000000,2764.000000,26360455,1100000003859953,2021-02-18T09:55:33
HDFC,INE001A01036,2021-02-18,NSE,EQ,EQ,buy,false,3.000000,2770.000000,26729072,1100000004831229,2021-02-18T10:11:42
HDFC,INE001A01036,2021-02-18,NSE,EQ,EQ,buy,false,1.000000,2769.899902,26729071,1100000004831229,2021-02-18T10:11:42
N100,INF247L01031,2021-02-18,NSE,EQ,EQ,buy,false,1.000000,979.000000,52767893,1200000009078739,2021-02-18T12:03:27
HDFC,INE001A01036,2021-02-22,NSE,EQ,EQ,buy,false,2.000000,2690.000000,26911410,1100000005937340,2021-02-22T10:20:48
BHARTIARTL,INE397D01024,2021-02-23,NSE,EQ,EQ,buy,false,1.000000,569.549988,2160176,1000000008864259,2021-02-23T11:07:36
CENTURYTEX,INE055A01016,2021-02-23,NSE,EQ,EQ,buy,false,1.000000,486.649994,2161469,1000000008869400,2021-02-23T11:07:43
VEDL,INE205A01025,2021-02-23,NSE,EQ,EQ,sell,false,44.000000,209.600006,80064083,1300000017481553,2021-02-23T14:24:27
GSFC,INE026A01025,2021-02-26,NSE,EQ,EQ,sell,false,50.000000,89.349998,27383075,1100000008258231,2021-02-26T10:55:35
